LocusID;Zygote;Quadrant;Globular;Heart;Torpedo;Bent;Mature
AT3G26790;927.4711294;1104.021723;1226.827692;1155.133421;1824.505086;4344.38709;1152.331809
AT3G27670;984.0832736;965.5391262;817.6498585;805.1046549;887.9563665;845.9701218;1637.856194
AT3G27750;3405.918161;3961.615499;3673.556938;6402.813059;11116.78461;11755.61187;17040.99586
AT3G29290;747.4632566;817.7678971;830.0827806;843.7014137;839.6135481;803.9259875;833.6969376
AT3G44530;760.0502402;758.7150163;739.0835613;754.335959;680.785599;690.9945979;689.2694635
AT3G46560;62369.96233;64660.04334;53755.29798;41701.95936;44768.62359;35047.47924;25371.93511
AT3G46740;949.1251652;1329.724095;1007.38822;946.0000852;1194.313297;1170.223946;1044.692741
AT3G48110;879.4588811;928.5757321;902.7933766;927.527425;905.5016681;842.1305767;833.8411152
AT3G48470;726.0033083;783.8577363;828.7733281;1052.884562;940.8927053;813.1372799;722.0749715
AT3G48930;29251.21701;44356.92339;58669.16273;52386.18748;40400.93047;29916.37678;2857.189222
AT3G49170;745.5066925;819.594171;1067.725119;1012.500122;837.4734501;796.7725262;726.0923147
AT3G49240;1344.358433;1842.106153;2733.814515;2584.782268;1827.913585;1690.149725;1130.225267
AT3G49660;707.3144775;656.3548116;652.0650394;667.9060451;679.7161305;681.7944465;740.1908908
AT3G50870;691.7350916;698.6858444;752.3442905;792.8549473;782.8875622;736.1773469;690.939047
AT3G52590;63063.42756;60957.1976;55983.73869;56871.22687;57020.67018;50659.24152;25336.07534
AT3G52940;858.0922298;1064.344624;1099.007468;1264.825242;1872.147916;1864.60181;856.6438494
AT3G54010;972.4599375;959.8060936;858.9830358;928.0702954;869.0977017;858.972706;935.4922806
AT3G54170;873.8876942;831.5824948;1141.450798;1007.531159;954.4715326;1158.583339;1930.500408
AT3G54320;741.019447;895.922285;912.5355387;941.5009687;1515.858788;1515.524363;736.7355409
AT3G54350;1375.63215;1445.306792;1737.877577;2011.493576;1857.711586;1522.854591;1320.594805
AT3G54660;1484.089052;1456.644725;2063.831441;2527.583347;2749.967933;4359.784318;5004.031977
AT3G54670;746.3003145;760.5829885;818.9259718;851.7401862;866.4528541;1011.77426;1098.663459
AT3G54720;1606.67503;1370.473632;1543.780308;2225.973036;1873.539809;1853.111873;1836.920158
AT3G55010;6514.789921;6763.908937;7593.101877;5135.449615;3957.369169;2192.321216;2550.77662
AT3G55510;724.7744376;732.3922615;889.9733583;922.2579086;989.0573929;880.5476611;721.3244684
AT3G55610;1120.151761;1037.203593;844.1357394;917.6434437;890.9616216;894.7511737;863.933619
AT3G55620;2468.671773;2150.158338;5736.744271;7993.017901;7693.036554;6173.233285;14932.01412
AT3G57870;27038.94679;18977.24087;25360.12691;28042.13114;19165.07116;12532.0182;14457.02726
AT3G60740;1104.767063;1211.515646;1166.117421;1162.438664;1108.762651;1045.3504;919.3954897
AT3G60830;743.1809787;770.46826;878.3048814;863.1993069;915.8935884;1038.316968;855.2269531
AT3G61780;1458.167395;1694.922224;1536.526796;1481.925076;1242.89834;1045.911803;1385.323337
AT3G63490;1094.758952;1351.36647;2453.797135;4053.521448;5653.253758;4598.84486;5143.122232
AT4G00220;793.2809135;860.4119172;867.3153719;846.1177529;820.3186969;839.1058045;859.3013257
AT4G00620;676.7093955;615.9196188;736.6092607;645.4448536;775.962988;751.0152944;797.5396622
AT4G02060;5103.86787;5827.863161;13272.26002;14508.47405;12162.22912;6806.953655;1081.328798
AT4G02570;872.7739783;823.4963153;1004.766384;878.2701356;822.3277535;957.5745886;1807.926085
AT4G02790;685.0539619;741.3325786;797.5275213;779.0132971;990.75055;934.6600432;732.4679909
AT4G02980;5930.41078;3468.884433;1534.723808;2331.950522;2691.672238;4329.467916;3398.713503
AT4G03240;679.3869653;719.8896638;825.0337093;813.599122;850.6104157;764.4532896;837.6999036
AT4G03430;1204.459657;1023.341811;1466.516434;1688.16611;1347.378293;1466.02578;2413.670408
AT4G04350;8589.443336;6719.470726;5636.203306;6474.991331;8695.702948;4756.916509;2415.55125
AT4G05410;735.8995686;692.2356705;667.9856525;719.7316719;713.0007164;692.6811059;848.8105498
AT4G09980;1278.306954;1667.516073;1342.914147;1426.970106;1358.294766;1417.666945;1180.700898
AT4G10760;702.4076954;729.1522084;779.9909819;759.7888624;744.6298331;748.9277298;783.7516818
AT4G11150;642.0659809;656.2671854;687.9565017;616.4677899;600.6715956;624.9884668;765.6442493
AT4G13750;758.5814142;743.5814264;808.1445309;764.2278561;781.3437466;848.744081;834.5679803
AT4G13940;21171.88971;22148.38529;54579.61576;38760.02753;31682.07909;31489.76863;8005.148146
AT4G14590;942.2396327;895.3667532;1011.263546;1148.670219;1005.265525;964.7251874;1045.106638
AT4G16370;1014.863519;1177.934337;2719.284661;2885.039131;2605.469772;3702.374653;1027.08014
AT4G19350;1252.565544;1545.301386;1714.753097;1548.884681;1496.799341;1337.056559;1405.914953
AT4G20060;1119.181988;1077.397662;1271.491123;1388.081226;1301.775125;1555.575022;1475.502785
AT4G20090;624.2871076;622.8775806;619.533879;632.2928418;602.3729529;598.3079392;635.5854879
AT4G20740;1610.784896;1449.595817;1007.091022;1041.625014;953.7774627;850.290225;925.8128507
AT4G21130;724.448135;757.4137736;707.6537377;736.1298979;764.6149504;731.0634714;683.5119669
AT4G21190;745.9236486;737.0610237;815.8751898;864.0123332;879.0992572;821.5635297;701.4070672
AT4G21710;907.0567149;837.8477325;860.3701192;844.2883361;847.9749818;896.2758193;1313.535539
AT4G21800;1011.625662;1075.845667;890.2478186;777.745221;901.9931974;801.5750611;873.2250563
AT4G22970;746.3118314;779.4506808;822.230715;806.1401863;815.9491723;848.8055903;793.0194306
AT4G23100;2187.806999;1642.706158;1826.295945;1787.782384;1554.642501;2315.197495;15117.29896
AT4G23250;813.2044605;865.9702206;889.9575455;818.8800207;782.9118475;850.1024784;779.8815579
AT4G23430;1945.255468;2213.27293;4047.904609;3749.111953;6579.981111;6159.740642;3616.821204
AT4G23660;2684.179892;2828.694337;2577.211585;2627.749576;2813.324129;2029.062996;2213.128649
AT4G24270;922.7455713;1234.838587;1069.49856;967.0253461;1059.228409;935.4866329;811.9286154
AT4G26300;27810.79256;28971.62461;40819.29187;33121.70336;22644.14791;13241.66921;7339.366548
AT4G26500;861.7548548;895.074609;817.503835;832.6209972;858.0460838;801.394513;887.4257994
AT4G26900;772.7119092;713.2083397;725.6266176;817.7192681;825.1052895;775.3608374;672.6933054
AT4G27010;957.041815;942.1618926;1491.536514;1467.456671;1260.874657;1173.320601;1354.141056
AT4G28210;1694.000605;1607.489202;1093.687261;1148.280796;1185.295621;1123.711226;975.769152
AT4G29060;1019.599161;1004.605223;1666.874235;2167.742576;2360.804778;3758.696515;1346.561076
AT4G29660;720.2078276;703.9950629;729.3122175;702.6782269;696.7923863;709.9235811;703.3192169
